Class,Precision,Recall,Accuracy
Aspergillus calidoustus,0.0,0.0,1.0
Aspergillus felis-viridinutans,0.0,0.0,1.0
Aspergillus flavus,0.0,0.0,0.9886531820424272
Aspergillus melleus,0.0,0.0,1.0
Aspergillus nomiae,0.0,0.0,1.0
Aspergillus parasiticus,0.0,0.0,1.0
Aspergillus persii,0.0,0.0,1.0
Aspergillus subramanianii,0.0,0.0,1.0
Aspergillus terreus,1.0,1.0,1.0
Aspergillus thermomutatus,0.0,0.0,0.9881598421312284
Aspergillus viridinutans,1.0,1.0,1.0
Fusarium anthophilium,0.0,0.0,0.9940799210656142
Fusarium dimerum,0.0,0.0,1.0
Fusarium faciforme,0.0,0.0,0.9763196842624569
Fusarium fujikuorii,0.0,0.0,1.0
Fusarium keratoplasticum,0.0,0.0,0.9876665022200296
Hyphozyma variabilis,0.0,0.0,1.0
Microsporum audouinii,0.0,0.0,1.0
Trichophyton benhamiae,1.0,1.0,1.0
Trichophyton concentricum,0.0,0.0,1.0
Trichophyton japonicum,1.0,0.8333333333333334,0.9980266403552047
Aspergillus alliaceus,1.0,1.0,1.0
Aspergillus awamori,0.974025974025974,1.0,0.9990133201776024
Aspergillus citrinoterreus,1.0,1.0,1.0
Aspergillus fumigatus,0.7676767676767676,1.0,0.9886531820424272
Aspergillus lentulus,1.0,1.0,1.0
Aspergillus nidulans,1.0,0.4897959183673469,0.9876665022200296
Aspergillus niger,1.0,0.9722222222222222,0.9990133201776024
Aspergillus novofumigatus,1.0,1.0,1.0
Aspergillus pseudodeflectus,1.0,0.475,0.9896398618648249
Aspergillus sydowii,0.0,0.0,0.986679822397632
Aspergillus tamarii,0.0,0.0,0.9901332017760237
Candida auris,1.0,1.0,1.0
Cryptococcus neoformans,1.0,1.0,1.0
Cunninghamella bertholletiae,1.0,1.0,1.0
Emericella nidulans,0.7311827956989247,1.0,0.9876665022200296
Exophiala oligoesperma,1.0,1.0,1.0
Fusarium oxysporum,1.0,1.0,1.0
Fusarium petroliphilum,1.0,0.9807692307692307,0.9995066600888012
Fusarium proliferatum,0.6363636363636364,1.0,0.9861864824864331
Fusarium solani,0.6212121212121212,1.0,0.9876665022200296
Fusarium verticillioides,1.0,1.0,1.0
Lichtheimia corymbifera,1.0,0.6619718309859155,0.9881598421312284
Lichtheimia ramosa,0.6571428571428571,1.0,0.9881598421312284
Microsporum canis,0.5,0.08695652173913043,0.9773063640848545
Mucor circinelloides,1.0,1.0,1.0
Neosartorya fischeri,1.0,1.0,1.0
Neosartorya fisheri,1.0,1.0,1.0
Neosartorya tsurutae,0.0,0.0,0.9881598421312284
Neosartorya udagawae,1.0,1.0,1.0
Pseudallescheria boydii,1.0,1.0,1.0
Rhizomucor pusillus,0.7941176470588235,1.0,0.9965466206216083
Rhizopus arrhizus,1.0,1.0,1.0
Rhizopus microsporus,1.0,0.8478260869565217,0.9965466206216083
Scedosporium apiospermum,1.0,1.0,1.0
Scedosporium prolificans,1.0,1.0,1.0
Syncephalastrum sp.,1.0,1.0,1.0
Trichophyton interdigitale,0.7419354838709677,0.9857142857142858,0.9876665022200296
Trichophyton rubrum,1.0,1.0,1.0
Trichophyton tonsurans,1.0,1.0,1.0
Overall,0.6237276213841678,0.6222264905014665,0.8786383818450912
